,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,pilot_exp_var,exp_var,category,phase
0,,,,,,,,,137,,,0.0030901794177801145,0.0037796022895505432,,
1,Fur,1.6854962287115886e-44,5.393587931877084e-43,0.8205128205128205,0.25,0.38323353293413176,32.0,128.0,39,1.0,,0.02171242102932358,0.018648144341353423,,
2,,,,,,,,,52,,,0.0023874265866307143,0.013844935110920664,,
3,,,,,,,,,23,,,0.0001593887414049755,0.0031528134035468947,,
4,RpoH,1.8088432465554689e-41,5.24564541501086e-40,0.8157894736842105,0.2198581560283688,0.34636871508379885,31.0,141.0,38,1.0,,0.009605613362128174,0.009123812449196467,,
5,YieP,2.1429143111186313e-17,3.214371466677947e-16,0.6,1.0,0.7499999999999999,6.0,6.0,10,1.0,,0.0004751791892225743,0.0010085729396049903,,
6,NtrC,1.6024862086427164e-16,2.4037293129640745e-15,1.0,0.16,0.2758620689655173,8.0,50.0,8,1.0,,0.006703832388107678,0.0024010559787952523,,
7,Zur,1.867378101701358e-18,3.54801839323258e-17,0.4375,1.0,0.6086956521739131,7.0,7.0,16,1.0,,0.0001360892743755837,0.006367398961487636,,
8,,,,,,,,,3,,,0.0006062203853712811,0.004981508780650623,,
9,His-tRNA,0.0,0.0,1.0,1.0,1.0,8.0,8.0,8,1.0,,0.0006546864663132812,0.003626221436045074,,
10,,,,,,,,,10,,,0.09141407834216886,0.023798757236593526,,
11,BluR,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4,1.0,,0.0008327359479572971,0.003854158735283497,,
12,Fur,3.5874111146659595e-29,1.076223334399788e-27,0.7586206896551724,0.171875,0.2802547770700637,22.0,128.0,29,1.0,,0.018887390609584886,0.008924364510767724,,
13,ArcA,3.576543958460182e-13,1.18025950629186e-11,0.6842105263157895,0.05627705627705628,0.10400000000000001,13.0,231.0,19,1.0,,0.022789371105112366,0.010884322944042957,,
14,YheO/PaaX,5.669540354199824e-11,6.47032030336532e-06,0.08620689655172414,0.45454545454545453,0.14492753623188406,10.0,22.0,116,2.0,,0.001099208896718884,0.0029808474033480303,,
