,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
0,SSW SNPs,transposition,1.3332864329474865e-16,5.626468747038393e-13,0.145985401459854,0.3448275862068966,0.20512820512820512,20.0,62.0,137.0,GO,,
1,SSW SNPs,DNA recombination,5.545859101309799e-12,1.1701762703763675e-08,0.15328467153284672,0.19626168224299065,0.1721311475409836,21.0,184.0,137.0,GO,,
2,SSW SNPs,DNA transposition,1.5715496257753782e-10,2.2106464735906988e-07,0.10218978102189781,0.28,0.14973262032085563,14.0,65.0,137.0,GO,,
3,SSW SNPs,transposase activity,1.4235292403051458e-09,1.5018233485219287e-06,0.08759124087591241,0.3,0.13559322033898305,12.0,44.0,137.0,GO,,
4,SSW SNPs,DNA integration,3.197524936358395e-06,0.0026987110462864854,0.058394160583941604,0.25806451612903225,0.09523809523809523,8.0,44.0,137.0,GO,,
5,SSW SNPs,positive regulation of cytoskeleton organization,0.00011690957711190339,0.08222640256870539,0.021897810218978103,0.75,0.04255319148936171,3.0,5.0,137.0,GO,,
6,Fur-1,enterobactin biosynthetic process,1.836373222779796e-17,7.749495000130739e-14,0.20512820512820512,1.0,0.3404255319148936,8.0,32.0,39.0,GO,,
7,Fur-1,iron ion transmembrane transport,7.026439819548226e-17,1.4825788019246757e-13,0.28205128205128205,0.4074074074074074,0.33333333333333337,11.0,28.0,39.0,GO,,
8,Fur-1,ferric-enterobactin import into cell,3.329295961183265e-13,4.683209652064459e-10,0.15384615384615385,1.0,0.2666666666666667,6.0,9.0,39.0,GO,,
9,Fur-1,siderophore-dependent iron import into cell,2.7108730715451997e-11,2.8599710904801856e-08,0.1794871794871795,0.4375,0.2545454545454545,7.0,23.0,39.0,GO,,
10,Fur-1,ferric-enterobactin transmembrane transporter activity,4.285978947687171e-11,3.6173662318479725e-08,0.1282051282051282,1.0,0.22727272727272727,5.0,8.0,39.0,GO,,
11,Fur-1,monoatomic ion transport,2.0667688955776074e-09,1.4536274565562506e-06,0.28205128205128205,0.09649122807017543,0.1437908496732026,11.0,117.0,39.0,GO,,
