,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,pilot_exp_var,category,explained_variance,phase
SSW SNPs,,,,,,,,,137,,0.0030901794177796704,ALE Effects,0.0037796022895516534,Primary
Fur-1,Fur,1.6854962287115886e-44,5.393587931877084e-43,0.8205128205128205,0.25,0.38323353293413176,32.0,128.0,39,1.0,0.021712421029323248,Metal Homeostasis,0.018648144341353645,Primary
Crp-2,,,,,,,,,52,,0.00238742658663027,Carbon Metabolism,0.013844935110920664,Tertiary
Membrane,,,,,,,,,23,,0.0001593887414045314,Envelope Stress,0.0031528134035464506,Primary
RpoH,RpoH,1.8088432465554689e-41,5.24564541501086e-40,0.8157894736842105,0.2198581560283688,0.34636871508379885,31.0,141.0,38,1.0,0.009605613362127619,Temperature Shock,0.009123812449196689,"Primary,Tertiary"
YieP,YieP,2.1429143111186313e-17,3.214371466677947e-16,0.6,1.0,0.7499999999999999,6.0,6.0,10,1.0,0.00047517918922224123,Envelope Stress,0.0010085729396053233,"Primary,Tertiary"
NtrC-1,NtrC,1.6024862086427164e-16,2.4037293129640745e-15,1.0,0.16,0.2758620689655173,8.0,50.0,8,1.0,0.006703832388107123,Nitrogen Metabolism,0.0024010559787955854,"Primary,Tertiary"
Zur,Zur,1.867378101701358e-18,3.54801839323258e-17,0.4375,1.0,0.6086956521739131,7.0,7.0,16,1.0,0.00013608927437525065,Metal Homeostasis,0.006367398961487858,Non-responsive
Osmoprotectant,,,,,,,,,3,,0.000606220385370948,Envelope Stress,0.004981508780650068,Primary
histidine,His-tRNA,0.0,0.0,1.0,1.0,1.0,8.0,8.0,8,1.0,0.0006546864663128371,Amino Acid Metabolism,0.003626221436045074,Tertiary
csp,,,,,,,,,10,,0.09141407834216864,Temperature Shock,0.023798757236594303,Non-responsive
Biofilm,BluR,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4,1.0,0.000832735947956853,Extracellular Structures,0.0038541587352843854,"Primary,Tertiary"
Fur-2,Fur,3.5874111146659595e-29,1.076223334399788e-27,0.7586206896551724,0.171875,0.2802547770700637,22.0,128.0,29,1.0,0.018887390609584442,Metal Homeostasis,0.008924364510768612,"Primary,Tertiary"
ArcA-2,ArcA,3.576543958460182e-13,1.18025950629186e-11,0.6842105263157895,0.05627705627705628,0.10400000000000001,13.0,231.0,19,1.0,0.02278937110511159,Energy Metabolism,0.010884322944044067,"Primary,Secondary"
PAL 10 Del,YheO/PaaX,5.669540354199824e-11,6.47032030336532e-06,0.08620689655172414,0.45454545454545453,0.14492753623188406,10.0,22.0,116,2.0,0.001099208896718551,Uncharacterized,0.0029808474033486965,Primary
Unchar_1,,,,,,,,,59,,0.04697176692980809,Uncharacterized,0.00905146128481571,Non-responsive
QseB,QseB,1.2928002242492355e-19,1.163520201824312e-18,1.0,0.5833333333333334,0.7368421052631579,7.0,12.0,7,1.0,0.0008396883139630829,Extracellular Structures,0.003209204911552299,Primary
