,gene_id,gene_name,gene_ontology
0,b1931,yedK,protein-DNA covalent cross-linking
1,b1931,yedK,DNA binding
2,b1931,yedK,single-stranded DNA binding
3,b1931,yedK,single-stranded DNA binding
4,b1931,yedK,single-stranded DNA binding
5,b1931,yedK,single-stranded DNA binding
6,b1931,yedK,peptidase activity
7,b1931,yedK,hydrolase activity
8,b1931,yedK,proteolysis
9,b1931,yedK,DNA damage response
10,b1931,yedK,DNA damage response
11,b1931,yedK,DNA damage response
12,b1931,yedK,DNA damage response
13,b1931,yedK,DNA damage response
14,b1931,yedK,SOS response
15,b1931,yedK,protein-DNA covalent cross-linking
16,b1931,yedK,protein-DNA covalent cross-linking
17,b1931,yedK,protein-DNA covalent cross-linking
18,b1931,yedK,protein-DNA covalent cross-linking
19,b1932,yedL,transferase activity
20,b1932,yedL,acyltransferase activity
21,b1932,yedL,"acyltransferase activity, transferring groups other than amino-acyl groups"
22,b1687,ydiJ,catalytic activity
23,b1687,ydiJ,oxidoreductase activity
24,b1687,ydiJ,metal ion binding
25,b1687,ydiJ,flavin adenine dinucleotide binding
26,b1687,ydiJ,flavin adenine dinucleotide binding
27,b1687,ydiJ,iron-sulfur cluster binding
28,b1687,ydiJ,"4 iron, 4 sulfur cluster binding"
29,b1687,ydiJ,"4 iron, 4 sulfur cluster binding"
30,b1687,ydiJ,FAD binding
31,b1687,ydiJ,lactate catabolic process
32,b1687,ydiJ,D-lactate dehydrogenase (cytochrome) activity
33,b1687,ydiJ,flavin adenine dinucleotide binding
34,b1687,ydiJ,D-lactate dehydrogenase activity
35,b1585,ynfC,plasma membrane
36,b1585,ynfC,plasma membrane
37,b1585,ynfC,plasma membrane
38,b1585,ynfC,plasma membrane
39,b1585,ynfC,membrane
40,b0603,ybdO,DNA binding
41,b0603,ybdO,DNA-binding transcription factor activity
42,b0603,ybdO,regulation of DNA-templated transcription
43,b0603,ybdO,regulation of DNA-templated transcription
44,b1193,emtA,lytic endotransglycosylase activity
45,b1193,emtA,lytic endotransglycosylase activity
46,b1193,emtA,lytic endotransglycosylase activity
47,b1193,emtA,lytic transglycosylase activity
48,b1193,emtA,lytic transglycosylase activity
49,b1193,emtA,lytic transglycosylase activity
50,b1193,emtA,lyase activity
51,b1193,emtA,"carbon-oxygen lyase activity, acting on polysaccharides"
52,b1193,emtA,"carbon-oxygen lyase activity, acting on polysaccharides"
53,b1193,emtA,peptidoglycan metabolic process
54,b1193,emtA,cell wall macromolecule catabolic process
55,b1193,emtA,cell wall macromolecule catabolic process
56,b1193,emtA,cell wall organization
57,b1193,emtA,cell outer membrane
58,b1193,emtA,cell outer membrane
59,b1193,emtA,cell outer membrane
60,b1193,emtA,cell outer membrane
61,b1193,emtA,cell outer membrane
62,b1193,emtA,membrane
63,b1193,emtA,membrane
64,b0330,prpR,response to radiation
65,b0330,prpR,negative regulation of DNA-templated transcription
66,b0330,prpR,positive regulation of DNA-templated transcription
67,b0330,prpR,phosphorelay response regulator activity
68,b0330,prpR,nucleotide binding
69,b0330,prpR,DNA binding
70,b0330,prpR,DNA binding
71,b0330,prpR,DNA-binding transcription factor activity
72,b0330,prpR,ATP binding
73,b0330,prpR,ATP binding
