,gene_id,database,kegg_id
3,b0005,KEGG_orth,-
7,b0011,KEGG_orth,-
8,b0013,KEGG_orth,-
50,b0065,KEGG_orth,-
55,b4662,KEGG_orth,-
96,b0117,KEGG_orth,-
101,b0122,KEGG_orth,-
106,b0129,KEGG_orth,-
107,b0130,KEGG_orth,-
109,b0132,KEGG_orth,-
112,b0136,KEGG_orth,-
113,b0137,KEGG_orth,-
114,b0138,KEGG_orth,-
117,b0141,KEGG_orth,-
132,b0157,KEGG_orth,-
138,b0163,KEGG_orth,-
164,b0193,KEGG_orth,-
166,b0195,KEGG_orth,-
173,b0208,KEGG_orth,-
174,b0209,KEGG_orth,-
175,b0210,KEGG_orth,-
178,b0213,KEGG_orth,-
181,b0217,KEGG_orth,-
182,b4586,KEGG_orth,-
184,b0220,KEGG_orth,-
187,b0223,KEGG_orth,-
188,b0224,KEGG_orth,-
189,b0227,KEGG_orth,-
200,b4504,KEGG_orth,-
202,b0248,KEGG_orth,-
203,b0252,KEGG_orth,-
205,b4587,KEGG_orth,-
206,b0256,KEGG_orth,-
214,b0270,KEGG_orth,-
216,b0272,KEGG_orth,-
219,b0276,KEGG_orth,-
220,b0277,KEGG_orth,-
221,b0279,KEGG_orth,-
222,b0281,KEGG_orth,-
239,b0316,KEGG_orth,-
240,b0317,KEGG_orth,-
242,b0319,KEGG_orth,-
243,b0320,KEGG_orth,-
244,b0321,KEGG_orth,-
246,b0324,KEGG_orth,-
249,b0329,KEGG_orth,-
274,b0357,KEGG_orth,-
275,b0358,KEGG_orth,-
276,b4579,KEGG_orth,-
278,b0363,KEGG_orth,-
279,b0364,KEGG_orth,-
285,b4580,KEGG_orth,-
287,b0375,KEGG_orth,-
290,b0378,KEGG_orth,-
291,b0379,KEGG_orth,-
292,b0380,KEGG_orth,-
294,b0382,KEGG_orth,-
296,b0384,KEGG_orth,-
300,b0389,KEGG_orth,-
316,b0410,KEGG_orth,-
318,b0412,KEGG_orth,-
324,b0419,KEGG_orth,-
331,b0427,KEGG_orth,-
346,b0445,KEGG_orth,-
356,b0456,KEGG_orth,-
357,b0457,KEGG_orth,-
358,b0458,KEGG_orth,-
365,b0466,KEGG_orth,-
383,b0486,KEGG_orth,-
385,b0489,KEGG_orth,-
389,b0493,KEGG_orth,-
393,b0497,KEGG_orth,-
402,b0513,KEGG_orth,-
408,b4572,KEGG_orth,-
409,b0520,KEGG_orth,-
425,b0537,KEGG_orth,-
428,b0544,KEGG_orth,-
430,b0546,KEGG_orth,-
431,b0547,KEGG_orth,-
433,b0551,KEGG_orth,-
434,b0554,KEGG_orth,-
438,b0561,KEGG_orth,-
439,b0563,KEGG_orth,-
443,b0567,KEGG_orth,-
454,b0579,KEGG_orth,-
455,b0580,KEGG_orth,-
460,b4511,KEGG_orth,-
462,b0587,KEGG_orth,-
472,b0597,KEGG_orth,-
474,b4512,KEGG_orth,-
477,b0601,KEGG_orth,-
478,b0602,KEGG_orth,-
479,b0603,KEGG_orth,-
484,b0608,KEGG_orth,-
501,b0629,KEGG_orth,-
514,b0643,KEGG_orth,-
516,b0648,KEGG_orth,-
517,b0649,KEGG_orth,-
537,b0681,KEGG_orth,-
538,b0682,KEGG_orth,-
541,b0685,KEGG_orth,-
551,b0699,KEGG_orth,-
552,b0700,KEGG_orth,-
553,b0707,KEGG_orth,-
556,b0710,KEGG_orth,-
557,b0711,KEGG_orth,-
558,b0712,KEGG_orth,-
562,b0716,KEGG_orth,-
563,b0717,KEGG_orth,-
564,b0718,KEGG_orth,-
565,b0719,KEGG_orth,-
580,b0735,KEGG_orth,-
587,b0742,KEGG_orth,-
597,b0762,KEGG_orth,-
601,b0766,KEGG_orth,-
603,b0768,KEGG_orth,-
604,b0769,KEGG_orth,-
615,b0780,KEGG_orth,-
625,b0790,KEGG_orth,-
626,b0791,KEGG_orth,-
630,b0796,KEGG_orth,-
634,b0800,KEGG_orth,-
636,b0802,KEGG_orth,-
637,b0803,KEGG_orth,-
649,b0815,KEGG_orth,-
650,b4705,KEGG_orth,-
652,b0818,KEGG_orth,-
654,b0820,KEGG_orth,-
655,b0821,KEGG_orth,-
667,b0833,KEGG_orth,-
668,b0834,KEGG_orth,-
678,b0845,KEGG_orth,-
679,b0846,KEGG_orth,-
681,b0848,KEGG_orth,-
682,b0850,KEGG_orth,-
685,b0853,KEGG_orth,-
689,b0858,KEGG_orth,-
695,b0865,KEGG_orth,-
696,b0866,KEGG_orth,-
698,b0868,KEGG_orth,-
699,b0869,KEGG_orth,-
704,b0874,KEGG_orth,-
723,b0897,KEGG_orth,-
725,b0899,KEGG_orth,-
726,b0900,KEGG_orth,-
731,b0906,KEGG_orth,-
743,b0919,KEGG_orth,-
744,b0920,KEGG_orth,-
749,b0926,KEGG_orth,-
750,b0927,KEGG_orth,-
773,b0960,KEGG_orth,-
794,b0984,KEGG_orth,-
795,b0985,KEGG_orth,-
796,b0986,KEGG_orth,-
797,b0987,KEGG_orth,-
801,b4517,KEGG_orth,-
802,b0992,KEGG_orth,-
811,b1001,KEGG_orth,-
813,b1003,KEGG_orth,-
826,b1025,KEGG_orth,-
830,b1035,KEGG_orth,-
831,b1036,KEGG_orth,-
838,b1044,KEGG_orth,-
839,b1045,KEGG_orth,-
842,b1050,KEGG_orth,-
847,b1056,KEGG_orth,-
848,b1057,KEGG_orth,-
884,b1104,KEGG_orth,-
890,b1110,KEGG_orth,-
895,b1115,KEGG_orth,-
901,b1121,KEGG_orth,-
902,b1122,KEGG_orth,-
916,b1140,KEGG_orth,-
917,b1142,KEGG_orth,-
918,b1146,KEGG_orth,-
919,b1147,KEGG_orth,-
920,b1149,KEGG_orth,-
921,b1150,KEGG_orth,-
922,b1151,KEGG_orth,-
923,b1153,KEGG_orth,-
924,b1154,KEGG_orth,-
925,b1156,KEGG_orth,-
926,b1158,KEGG_orth,-
929,b1161,KEGG_orth,-
934,b1168,KEGG_orth,-
935,b1172,KEGG_orth,-
936,b4593,KEGG_orth,-
940,b1178,KEGG_orth,-
942,b1180,KEGG_orth,-
949,b1188,KEGG_orth,-
956,b1195,KEGG_orth,-
957,b1196,KEGG_orth,-
965,b1205,KEGG_orth,-
972,b1213,KEGG_orth,-
973,b1214,KEGG_orth,-
981,b1220,KEGG_orth,-
996,b1242,KEGG_orth,-
1004,b4595,KEGG_orth,-
1008,b1255,KEGG_orth,-
1009,b1257,KEGG_orth,-
1010,b1258,KEGG_orth,-
1015,b1267,KEGG_orth,-
1016,b1268,KEGG_orth,-
1019,b1271,KEGG_orth,-
1020,b1273,KEGG_orth,-
1023,b4523,KEGG_orth,-
1031,b1284,KEGG_orth,-
1032,b4596,KEGG_orth,-
1035,b1287,KEGG_orth,-
1055,b1313,KEGG_orth,-
1056,b1314,KEGG_orth,-
1057,b1315,KEGG_orth,-
1061,b1320,KEGG_orth,-
1069,b1328,KEGG_orth,-
